id,medicamento,presentacion,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica,No,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
106,NAUSEOL INFANTIL SUPOSITORIOS X 6 BONIN,"{'SUPOSITORIO': [1, 8.0]}",Supositorio,Antiemético pediátrico,Metoclopramida,1 supositorio cada 6 horas,Alivia las náuseas en niños,106,6.0,4.38,8.0,0.4525,26.28,48.0
107,NAUSEOL SUSP JBE FCO 60 ML,"{'FRASCO': [1, 72.0]}",Jarabe,Antiemético,Metoclopramida,Según indicación médica,Controla las náuseas y vómitos,107,2.0,45.94,72.0,0.3619444444444444,91.88,144.0
108,NEO GRIPINA 500 MG INYECTADO,"{'AMPOLLA': [1, 8.0]}",Inyectable,Analgésico y antipirético,Dipirona,500 mg por vía intramuscular,Alivio del dolor y la fiebre,108,0.0,4.75,8.0,0.40625,0.0,0.0
109,NEOFEBRINA JARABE 100 ML,"{'JARABE': [1, 34.0]}",Jarabe,Antipirético,Paracetamol,Según indicación médica,Reduce la fiebre y alivia el dolor,109,1.0,21.42,34.0,0.3699999999999999,21.42,34.0
110,NEOFEBRINA SUPOSITORIO NIÑOS 300 MGS CAJA X 5,"{'CAJA': [5, 60.0], 'SUPOSITORIO': [1, 12.0]}",Supositorio,Antipirético pediátrico,Paracetamol,1 supositorio cada 6 horas,Alivia la fiebre en niños,110,5.0,7.28,12.0,0.3933333333333333,36.4,60.0
111,NEOMELUBRINA CAJA X 5 SUPOSITORIOS,"{'CAJA': [5, 55.0], 'SUPOSITORIO': [1, 11.0]}",Supositorios,Analgésico y antipirético,Dipirona,1 supositorio cada 6 horas,Analgésico y antipirético,111,5.0,7.2,11.0,0.3454545454545454,36.0,55.0
112,NEOMELUBRINA JBE 100 ML,"{'JARABE': [1, 79.0]}",Jarabe,Analgésico y antipirético,Dipirona,Según indicación médica,Analgésico y antipirético,112,2.0,52.5,79.0,0.3354430379746835,105.0,158.0
113,NERVADEN CAJA X 30 BLIST X 10 CAPS,"{'CAJA': [30, 132.0], 'BLISTER': [10, 44.0], 'CAPSULA': [1, 4.4]}",Cápsulas,Suplemento vitamínico,Vitaminas del complejo B,1 cápsula al día,Suplemento vitamínico,113,33.0,2.73,4.4,0.3795454545454546,90.09,145.20000000000002
114,NERVIFEN BLIST X 10 CAJA X 30 PHENIEL,"{'BLISTER': [10, 12.0], 'CAJA': [30, 36.0], 'TABLETA': [1, 1.2]}",Tabletas,Analgésico y antiinflamatorio,Ibuprofeno,Según indicación médica,Analgésico y antiinflamatorio,114,26.0,0.77,1.2,0.3583333333333333,20.02,31.2
115,NEUMONIL FORTE DISP X 100 BLIST X 2 TAB,"{'BLISTER': [2, 1.75], 'DISPENSADOR': [100, 87.5]}",Tabletas,Antibiótico,Amoxicilina,1 tableta cada 8 horas,Antibiótico,115,17.0,1.04,1.75,0.4057142857142857,17.68,29.75
116,NEUMONIL G X 60 TABS,"{'TABLETA': [1, 2.5]}",Tabletas,Mucolítico y expectorante,Ambroxol,1 tableta cada 12 horas,Mucolítico y expectorante,116,44.0,1.52,2.5,0.392,66.88,110.0
117,OJO DE AGUILA GOTAS,"{'FRASCO': [1, 16.0]}",Gotas oftálmicas,Lubricante ocular,Hialuronato de sodio,Según indicación médica,Lubricante ocular,117,4.0,9.1,16.0,0.43125,36.4,64.0
118,OPTICLUDE REG CAJA X 20 UNID NEXCARE,"{'CAJA': [20, 80.0], 'BOLSA': [1, 4.0]}",Parche ocular,Oclusor ocular para tratamiento de ambliopía,No aplica,Según indicación médica,Oclusor ocular,118,0.0,1.687,4.0,0.5782499999999999,0.0,0.0
119,ORFENGESIC (ORFE/PARAC) BLIST X 10 CAJA X 20,"{'BLISTER': [10, 6.0], 'CAJA': [20, 12.0]}",Tabletas,Analgésico y antipirético,Orfenadrina y Paracetamol,Según indicación médica,Analgésico y antipirético,119,2.0,3.59,6.0,0.4016666666666666,7.18,12.0
120,OTIK GOTAS,"{'FRASCO': [1, 23.0]}",Gotas óticas,Antibiótico para infecciones del oído,Ofloxacino,Según indicación médica,Antibiótico,120,5.0,13.5,23.0,0.4130434782608695,67.5,115.0
121,PANADOL MUJER DISP. X 48 TAB (24 SOBRES),"{'DISPENSADOR': [48, 144.0], 'TABLETA': [1, 3.0]}",Tabletas,Alivio del dolor y fiebre en mujeres,Paracetamol,1 tableta cada 6 horas,Analgésico y antipirético,121,0.0,1.83,3.0,0.3899999999999999,0.0,0.0
122,PANADOL NIÑOS DISP X 100 TAB MASTIC,"{'DISPENSADOR': [48, 48.0], 'TABLETA': [1, 1.0]}",Tabletas masticables,Alivio del dolor y fiebre en niños,Paracetamol,Según peso y edad del niño,Analgésico y antipirético,122,51.0,0.61,1.0,0.39,31.11,51.0
123,PANCLASA PAGUE 30 LLEVE 40 BLISTER X 10,"{'BLISTER': [10, 50.0]}",Tabletas,Suplemento vitamínico,Vitaminas y minerales,Según indicaciones del médico,Suplemento dietético,123,2.0,33.99,50.0,0.3202,67.98,100.0
124,PARCHE LEON,"{'BOLSA': [1, 33.0]}",Parche transdérmico,Alivio del dolor localizado,No especificado,Según indicaciones del médico,Analgésico tópico,124,1.0,20.75,33.0,0.3712121212121212,20.75,33.0
125,PASIFLORA COMP CAJA X 30 BLISTER X 10,"{'CAJA': [30, 81.0], 'BLISTER': [10, 27.0], 'TABLETA': [1, 2.7]}",Cápsulas,Suplemento natural para la ansiedad,Pasiflora,Según indicaciones del médico,Ansiolítico natural,125,38.0,1.69,2.7,0.3740740740740741,64.22,102.6
126,PEZONERA DE VIDRIO EDIGAR,"{'FRASCO': [1, 20.0]}",Dispositivo para lactancia,Protección de los pezones durante la lactancia,No aplica,Según necesidad,Dispositivo de protección,126,1.0,12.0,20.0,0.4,12.0,20.0
127,PIOJINA SHAMPOO 60 ML SNTE,"{'BOTE': [1, 13.0]}",Shampoo,Tratamiento para la pediculosis,Piretrinas,Según indicaciones del médico,Pediculicida,127,2.0,7.25,13.0,0.4423076923076923,14.5,26.0
128,POMADA GMS 12 GRS,"{'CREMA': [1, 14.0]}",Pomada,Cicatrizante y protector de la piel,No especificado,Según necesidad,Cicatrizante y protector,128,3.0,8.4,14.0,0.3999999999999999,25.200000000000003,42.0
129,POMADA GMS TARRO 50 GRS,"{'CREMA': [1, 49.0]}",Pomada,Cicatrizante y protector de la piel,No especificado,Según necesidad,Cicatrizante y protector,129,1.0,31.25,49.0,0.3622448979591837,31.25,49.0
130,RELAFLEX KIT AMPOLLA VIJOSA,"{'KIT': [1, 45.0]}",Ampollas,Kit de relajación muscular,No especificado,Según indicaciones del médico,Relajante muscular,130,0.0,24.93,45.0,0.446,0.0,0.0
131,REUMETAN CREMA 30 GRS. TUBO,"{'CREMA': [1, 35.0]}",Crema,Antiinflamatorio tópico,Diclofenaco,Aplicar una capa delgada sobre la zona afectada 2-3 veces al día,"Antiinflamatorio, analgésico",131,1.0,22.75,35.0,0.35,22.75,35.0
132,REUMETAN S 25 MG BLIST X 10 CAJA X 100,"{'BLISTER': [10, 8.0], 'CAJA': [100, 80.0]}",Tabletas,Antiinflamatorio no esteroideo,Diclofenaco sódico,1 tableta cada 8 horas,"Antiinflamatorio, analgésico",132,10.0,4.75,8.0,0.40625,47.5,80.0
133,ROWACHOL BLISTER X 10 CAJA X 50 GEL CPAS,"{'BLISTER': [10, 60.0], 'CAJA': [50, 300.0], 'GELATINA BLANDA': [1, 6.0]}",Cápsulas,Suplemento dietético para la función hepática,Aceites esenciales,1 cápsula 3 veces al día,Hepatoprotector,133,16.0,3.473,6.0,0.4211666666666667,55.568,96.0
134,ROWATINEX PERLAS AMARILLAS BLI X 10,"{'BLISTER': [10, 7.5]}",Perlas,Suplemento dietético para la función hepática y biliar,Aceites esenciales,1 perla 3 veces al día,Hepatoprotector,134,50.0,4.76,7.5,0.3653333333333333,238.0,375.0
135,SCUDO NATURAL CAJA X 3,"{'CAJA': [3, 14.0]}",Condón,Preservativo,,Uso único,Prevención de enfermedades de transmisión sexual,135,2.0,7.8,14.0,0.4428571428571429,15.6,28.0
136,SCUDO ORO ESTRIADO CAJA X 3,"{'CAJA': [3, 24.0]}",Condón,Preservativo,,Uso único,Prevención de enfermedades de transmisión sexual,136,0.0,14.3,24.0,0.4041666666666666,0.0,0.0
137,SCUDO ORO RETARDANTE CAJA X 3,"{'CAJA': [3, 24.0]}",Condón,Preservativo con retardante,,Uso único,"Prevención de enfermedades de transmisión sexual, retardante de eyaculación",137,2.0,14.17,24.0,0.4095833333333333,28.34,48.0
138,SINSUEÑO BLIST X 10,"{'BLISTER': [10, 1.0]}",Tabletas,Inductor del sueño,Doxilamina,1 tableta antes de dormir,"Sedante, hipnótico",138,114.0,0.6,1.0,0.4,68.39999999999999,114.0
139,SOLUCION SALINA ISOTONICA LITRO,"{'BOTE': [1, 22.0]}",Solución,Solución salina para irrigación y lavado,Cloruro de sodio,Según necesidad médica,"Hidratación, irrigación",139,1.0,13.91,22.0,0.3677272727272727,13.91,22.0
140,SOLUCION SALINA PARA NEBULIZAR 250 ML,"{'FRASCO': [1, 16.0]}",Solución,Solución salina para nebulización,Cloruro de sodio,Según indicación médica,"Hidratación, mucolítico",140,2.0,9.61,16.0,0.399375,19.22,32.0
141,SOLUTINA GOTAS OFTALMICAS,"{'FRASCO': [1, 26.0]}",Gotas,Solución oftálmica para el tratamiento de infecciones oculares,Sulfato de neomicina,Aplicar 1 o 2 gotas en el ojo afectado cada 4 horas,Antibiótico de amplio espectro,141,0.0,16.29,26.0,0.3734615384615385,0.0,0.0
142,SUDAGRIP CAJA X 12 CAPSULAS,"{'CAJA': [12, 30.0], 'CAPSULA': [1, 2.5]}",Cápsulas,Alivio de los síntomas de la gripe y resfriado común,"Paracetamol, fenilefrina, clorfenamina",Tomar 1 cápsula cada 6 horas,"Analgésico, descongestionante nasal, antihistamínico",142,0.0,1.03,2.5,0.588,0.0,0.0
143,SUERO MIXTO 5% FCO 500 ML,"{'FRASCO': [1, 19.0]}",Solución inyectable,Rehidratación y reposición de electrolitos en casos de deshidratación,"Cloruro de sodio, cloruro de potasio, cloruro de calcio",Según indicación médica,Solución electrolítica,143,1.0,11.04,19.0,0.4189473684210527,11.04,19.0
144,TABCIN AD FM EF DISPEN X 72 SOBRES(CELESTE),"{'SOBRE': [1, 2.5]}",Sobres efervescentes,Alivio de los síntomas de gripe y resfriado común,"Paracetamol, fenilefrina, clorfenamina",Tomar 1 sobre cada 6 horas,"Analgésico, descongestionante nasal, antihistamínico",144,41.0,1.26,2.5,0.496,51.66,102.5
145,TABCIN EXTRA FUERTE X 60 EFERV (ROJO),"{'EFERVECENTE': [1, 2.5]}",Tabletas efervescentes,Alivio de los síntomas de gripe y resfriado común,"Paracetamol, fenilefrina, clorfenamina",Tomar 1 tableta cada 6 horas,"Analgésico, descongestionante nasal, antihistamínico",145,65.0,1.47,2.5,0.412,95.55,162.5
146,TABCIN FLEMA Y CONGESTION CAJA X 30,"{'CAJA': [30, 150.0], 'TABLETA': [1, 5.0]}",Tabletas,Alivio de la tos y congestión nasal,"Guaifenesina, fenilefrina",Tomar 1 tableta cada 8 horas,"Expectorante, descongestionante nasal",146,42.0,3.13,5.0,0.374,131.46,210.0
147,TABCIN GRIPE Y TOS LIQUID GEL X 30,"{'GELATINA BLANDA': [1, 5.0]}",Cápsulas líquidas,"Alivio de los síntomas de gripe, tos y congestión nasal","Paracetamol, dextrometorfano, fenilefrina",Tomar 1 cápsula cada 6 horas,"Analgésico, antitusivo, descongestionante nasal",147,50.0,3.02,5.0,0.396,151.0,250.0
148,TABCIN GRIPE Y TOS X 60 TABS EFERV (MORADO),"{'EFERVECENTE': [1, 2.5]}",Tabletas efervescentes,"Alivio de los síntomas de gripe, tos y congestión nasal","Paracetamol, dextrometorfano, fenilefrina",Tomar 1 tableta cada 6 horas,"Analgésico, antitusivo, descongestionante nasal",148,37.0,1.51,2.5,0.396,55.87,92.5
149,TABCIN LIQUID GEL DIA X 30,"{'GELATINA BLANDA': [1, 5.0]}",Cápsulas líquidas,Alivio de los síntomas de gripe y resfriado durante el día,"Paracetamol, fenilefrina",Tomar 1 cápsula cada 6 horas,"Analgésico, descongestionante nasal",149,33.0,3.27,5.0,0.346,107.91,165.0
150,TABCIN LIQUID GEL NOCHE X 30,"{'GELATINA BLANDA': [1, 5.0]}",Cápsulas líquidas,Alivio de los síntomas de gripe y resfriado durante la noche,"Paracetamol, fenilefrina",Tomar 1 cápsula cada 6 horas antes de dormir,"Analgésico, descongestionante nasal",150,45.0,3.39,5.0,0.3219999999999999,152.55,225.0
151,TABCIN NIÑOS DISP X 48 BLIST X 12 MASTIC,"{'BLISTER': [12, 18.0], 'EFERVECENTE': [1, 1.5]}",Tabletas masticables,Analgésico y antipirético,Paracetamol,Según indicación médica,Alivio del dolor y reducción de la fiebre,151,35.0,0.9,1.5,0.3999999999999999,31.5,52.5
152,TABCIN NIÑOS X 60 EFERV,"{'EFERVECENTE': [1, 2.0]}",Tabletas efervescentes,Analgésico y antipirético,Paracetamol,Según indicación médica,Alivio del dolor y reducción de la fiebre,152,56.0,1.21,2.0,0.395,67.75999999999999,112.0
153,TALCO DERMO-G11 300 GRS,"{'BOTE': [1, 25.0]}",Polvo,Antisudorífico y desodorante,Talco,Según necesidad,Absorción de la humedad y prevención de irritaciones,153,2.0,14.25,25.0,0.43,28.5,50.0
154,TALCO SUDORIN 110 GRS,"{'BOTE': [1, 18.0]}",Polvo,Antisudorífico y desodorante,Talco,Según necesidad,Absorción de la humedad y prevención de irritaciones,154,1.0,11.5,18.0,0.3611111111111111,11.5,18.0
155,TENSIL 25 MG CAJA X 40 BLIST X 20,"{'CAJA': [40, 8.6], 'BLISTER': [20, 4.3]}",Tabletas,Antihipertensivo,Enalapril,Según indicación médica,Reducción de la presión arterial,155,89.0,2.21,4.3,0.4860465116279069,196.69,382.7
156,TERMOMETRO DE CINTA MEDITEM FRONT,"{'UNIDAD': [1, 25.0]}",Dispositivo de medición,Termómetro para medir la temperatura corporal,,Según necesidad,Medición de la temperatura,156,2.0,15.55,25.0,0.3779999999999999,31.1,50.0
157,TIAMINA 100 MG FCO X 10  ML PIERSAN,"{'FRASCO': [1, 15.0]}",Solución oral,Suplemento vitamínico,Tiamina,Según indicación médica,Aporte de vitamina B1,157,0.0,9.0,15.0,0.4,0.0,0.0
158,TINTURA DE YODO NEGRO 1 ONZ,"{'UNIDAD': [1, 19.0]}",Solución tópica,Antiséptico,Yodo,Según indicación médica,Desinfección de la piel,158,2.0,11.25,19.0,0.4078947368421052,22.5,38.0
159,TIRA LECHE DE VIDRIO,"{'UNIDAD': [1, 39.0]}",Dispositivo de extracción de leche materna,Facilita la extracción de leche materna,,Según necesidad,Extracción de leche materna,159,1.0,25.0,39.0,0.358974358974359,25.0,39.0
160,UNI-PULMIN ANTIGRIPAL CAJA X 25 SOBRES,"{'CAJA': [25, 87.5], 'SOBRE': [1, 3.5]}",Sobres granulados,Antigripal,"Paracetamol, clorfenamina, fenilefrina",Según indicación médica,Alivio de los síntomas gripales,160,0.0,2.29,3.5,0.3457142857142857,0.0,0.0
161,VICK TARRO 100 GRS,"{'FRASCO': [1, 68.0]}",Pomada,Alivio de dolores musculares y articulares,Mentol y alcanfor,Aplicar una pequeña cantidad en la zona afectada y masajear suavemente,Analgésico y antiinflamatorio,161,1.0,41.11,68.0,0.3954411764705882,41.11,68.0
162,VICK TARRO 50 GRS,"{'FRASCO': [1, 38.0]}",Pomada,Alivio de dolores musculares y articulares,Mentol y alcanfor,Aplicar una pequeña cantidad en la zona afectada y masajear suavemente,Analgésico y antiinflamatorio,162,2.0,22.98,38.0,0.3952631578947368,45.96,76.0
163,VIRO GRIP GRIPE Y TOS JBE 120 ML,"{'JARABE': [1, 35.0]}",Jarabe,Alivio de los síntomas de gripe y tos,"Paracetamol, fenilefrina y dextrometorfano",Tomar la dosis indicada por el médico,"Antipirético, descongestionante y antitusígeno",163,4.0,19.86,35.0,0.4325714285714286,79.44,140.0
164,VITAFLENACO GEL TOPICA 20 G,"{'BOTE': [1, 38.0]}",Gel tópico,Alivio de dolores musculares y articulares,Diclofenaco,Aplicar una pequeña cantidad en la zona afectada y masajear suavemente,Antiinflamatorio y analgésico,164,1.0,22.8,38.0,0.3999999999999999,22.8,38.0
165,VITAL FUERTE 10 AMP BEB 10 ML,"{'AMPOLLA': [1, 5.8]}",Ampollas bebibles,Suplemento vitamínico,Complejo B,Tomar una ampolla al día,Suplemento vitamínico,165,0.0,3.9,5.8,0.3275862068965517,0.0,0.0
166,"VITANERVO 25,000 KIT AMP PIERSAN","{'KIT': [1, 19.0]}",Ampollas,Suplemento vitamínico,Vitaminas del complejo B,Seguir las indicaciones del médico,Suplemento vitamínico,166,2.0,9.85,19.0,0.481578947368421,19.7,38.0
167,VITAPYRENA DISP X50,"{'SOBRE': [1, 3.5]}",Tabletas dispersables,Analgésico y antipirético,Paracetamol,Tomar según necesidad,Analgésico y antipirético,167,24.0,2.086,3.5,0.404,50.06399999999999,84.0
168,VITAPYRENA FORTE DISP X50,"{'SOBRE': [1, 6.0]}",Tabletas dispersables,Analgésico y antipirético,Paracetamol,Tomar según necesidad,Analgésico y antipirético,168,28.0,3.73,6.0,0.3783333333333333,104.44,168.0
169,XICONEURAL CAJA X 30 INDUCTOR DEL SUEÑO,"{'CAJA': [30, 75.0], 'SOBRE': [1, 2.5]}",Comprimidos,Inductor del sueño,Zolpidem,Tomar un comprimido antes de dormir,Inductor del sueño,169,28.0,1.18,2.5,0.528,33.04,70.0
170,XIRMEN 4 MG /2 ML X 1 AMP INYECT,"{'AMPOLLA': [1, 48.0]}",Ampolla inyectable,Antiinflamatorio,Dexametasona,Seguir las indicaciones del médico,Antiinflamatorio,170,2.0,28.25,48.0,0.4114583333333333,56.5,96.0
171,ZORRITONE CARAMELO JENGIBRE POWER X 100,"{'UNIDAD': [1, 0.75]}",Caramelo,Alivio de la tos y la irritación de garganta,Jengibre,Chupar un caramelo cada 4 horas,Propiedades antiinflamatorias y antioxidantes del jengibre ayudan a calmar la tos y la irritación de garganta,171,22.0,0.36,0.75,0.52,7.92,16.5
