id,medicamento,presentacion,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica,No,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
105,NEOMELUBRINA AMPOLLA 2 ML,"{'AMPOLLA': [1, 8.0]}",Ampolla,Analgésico y antipirético,Dipirona,Según prescripción médica,Inhibidor de la síntesis de prostaglandinas,105,19.0,2.5,8.0,0.6875,47.5,152.0
106,NEOMELUBRINA CAJA X 100 BLIST X 4,"{'CAJA': [100, 31.25], 'BLISTER': [4, 1.25]}",Tableta,Analgésico y antipirético,Dipirona,Según prescripción médica,Inhibidor de la síntesis de prostaglandinas,106,123.0,0.25,1.25,0.8,30.75,153.75
107,NERVESSA PASTILLAS DISP  50,"{'DISPENSADOR': [1, 3.5]}",Tableta,Suplemento vitamínico para el sistema nervioso,Complejo B,1 tableta al día,Suplemento vitamínico,107,48.0,2.06,3.5,0.4114285714285714,98.88,168.0
108,NERVOTIAMIN D SOBRE X 4 TAB CAJA X 100  ANCALMO,"{'SOBRE': [4, 1.75], 'CAJA': [100, 43.75]}",Tableta efervescente,Suplemento vitamínico para el sistema nervioso,Tiamina (vitamina B1),1 tableta al día disuelta en agua,Suplemento vitamínico,108,174.0,0.93,1.75,0.4685714285714285,161.82000000000002,304.5
109,NEUMONIL AMPOLLA 1 ML,"{'AMPOLLA': [1, 10.0]}",Ampolla,Broncodilatador para el tratamiento del asma,Salbutamol,Según prescripción médica,Agonista de los receptores beta-2 adrenérgicos,109,15.0,4.0,10.0,0.6,60.0,150.0
110,NEURO NERVIOL CAJA X 10 AMPOLLAS,"{'CAJA': [1, 55.0]}",Ampolla,Suplemento vitamínico para el sistema nervioso,Complejo B,Según prescripción médica,Suplemento vitamínico,110,1.0,30.0,55.0,0.4545454545454545,30.0,55.0
121,OVARICON CAJA X 30 TAB BLISTER X 10,"{'CAJA': [30, 150.0], 'BLISTER': [10, 50.0]}",Tabletas,Tratamiento para regular el ciclo menstrual y aliviar los síntomas del síndrome de ovario poliquístico,Clomifeno,"1 tableta diaria durante 5 días, comenzando en el quinto día del ciclo menstrual",Estimula la ovulación,121,1.0,25.0,50.0,0.5,25.0,50.0
122,PANADOL EXTRAFUERTE X 50 SOBRE,"{'CAJA': [50, 100.0], 'SOBRE': [1, 2.0]}",Sobres de polvo,Alivio del dolor y la fiebre intensos,Paracetamol,1 sobre cada 4-6 horas según sea necesario,Analgésico y antipirético,122,17.0,0.8,2.0,0.6,13.6,34.0
123,PANADOL MULTISINTOMAS X 24 SOBRES,"{'CAJA': [24, 72.0], 'SOBRE': [1, 3.0]}",Sobres de polvo,"Alivio de múltiples síntomas como dolor de cabeza, fiebre, congestión nasal y dolor de garganta","Paracetamol, clorfenamina, fenilefrina",1 sobre cada 6 horas según sea necesario,Alivio de síntomas múltiples,123,32.0,1.67,3.0,0.4433333333333333,53.44,96.0
124,PANADOL SINUS X 26 SOBRES,"{'CAJA': [26, 78.0], 'SOBRE': [1, 3.0]}",Sobres de polvo,Alivio de la congestión nasal y el dolor de cabeza asociados con sinusitis,"Paracetamol, clorfenamina, fenilefrina",1 sobre cada 6 horas según sea necesario,Descongestionante y analgésico,124,31.0,1.66,3.0,0.4466666666666667,51.46,93.0
125,PANADOL ULTRA X 52 SOBRES,"{'CAJA': [52, 130.0], 'SOBRE': [1, 2.5]}",Sobres de polvo,Alivio del dolor y la fiebre intensos,"Paracetamol, cafeína",1 sobre cada 4-6 horas según sea necesario,"Analgésico, antipirético y estimulante",125,25.0,1.33,2.5,0.4679999999999999,33.25,62.5
126,PARACETAMOL 750 MG  ECOMED CAJA X 60 TAB  BLIST X5,"{'CAJA': [60, 144.0], 'BLISTER': [5, 12.0]}",Tabletas,Alivio del dolor y la fiebre,Paracetamol,1 tableta cada 4-6 horas según sea necesario,Analgésico y antipirético,126,6.0,4.09,12.0,0.6591666666666667,24.54,72.0
127,PEPTO BISMOL 118 ML (4 ONZ),"{'BOTE': [1, 43.0]}",Suspensión oral,"Alivio de la acidez estomacal, indigestión y malestar gastrointestinal",Bismuto subsalicilato,Según indicación médica,Protector gástrico y antidiarreico,127,6.0,28.0,43.0,0.3488372093023256,168.0,258.0
128,PEPTOBISMOL TIRA  X 24 TAB,"{'CAJA': [1, 2.0], 'TABLETA': [1, 2.0]}",Tabletas masticables,"Alivio de la acidez estomacal, indigestión y malestar gastrointestinal",Bismuto subsalicilato,Según indicación médica,Protector gástrico y antidiarreico,128,24.0,0.96,2.0,0.52,23.04,48.0
129,PILDORA DE WITT BLIST X 20 CAJA X 100,"{'BLISTER': [20, 0.65], 'CAJA': [100, 3.25]}",Tabletas,Suplemento vitamínico y mineral,Vitaminas y minerales varios,1 tableta diaria,Suplemento nutricional,129,17.0,0.25,0.65,0.6153846153846154,4.25,11.05
130,PIOFIN FCO 60 ML,"{'FRASCO': [1, 10.0]}",Frascos de solución,Antitusivo para el alivio de la tos,Dextrometorfano,Según indicación médica,Antitusivo,130,2.0,5.0,10.0,0.5,10.0,20.0
131,POMADA DE LA CAMPANA 19 GRS,"{'CREMA': [1, 13.0]}",Pomada,"Para el alivio de irritaciones de la piel, quemaduras leves y picaduras de insectos.",Óxido de Zinc,Aplicar una capa delgada sobre la zona afectada 2-3 veces al día.,Protector y cicatrizante de la piel.,131,4.0,5.98,13.0,0.5399999999999999,23.92,52.0
132,POMADA DE LA CAMPANA 35 GRS,"{'CREMA': [1, 22.0]}",Pomada,"Para el alivio de irritaciones de la piel, quemaduras leves y picaduras de insectos.",Óxido de Zinc,Aplicar una capa delgada sobre la zona afectada 2-3 veces al día.,Protector y cicatrizante de la piel.,132,2.0,7.6,22.0,0.6545454545454545,15.2,44.0
133,PROMETEST PRUEBA DE EMBARAZO,"{'CREMA': [1, 15.0]}",Prueba de embarazo,Para determinar si existe un embarazo mediante la detección de la hormona hCG en la orina.,No aplica,Seguir las instrucciones del fabricante incluidas en el empaque.,Detecta la presencia de la hormona hCG en la orina.,133,3.0,4.5,15.0,0.7,13.5,45.0
134,PULMO GRIP JBE 120 ML,"{'JARABE': [1, 25.0]}",Jarabe,Para aliviar la tos y los síntomas del resfriado común.,"Paracetamol, Fenilefrina, Dextrometorfano",Tomar 10 ml cada 6 horas.,"Analgésico, descongestionante y antitusivo.",134,2.0,13.5,25.0,0.46,27.0,50.0
135,PULMO GRIP KIT,"{'KIT': [1, 19.0]}",Kit,Para aliviar la tos y los síntomas del resfriado común.,"Paracetamol, Fenilefrina, Dextrometorfano",Seguir las instrucciones del fabricante incluidas en el empaque.,"Analgésico, descongestionante y antitusivo.",135,3.0,9.0,19.0,0.5263157894736842,27.0,57.0
136,PULMOGRIP JBE 240 ML,"{'JARABE': [1, 35.0]}",Jarabe,Para aliviar la tos y los síntomas del resfriado común.,"Paracetamol, Fenilefrina, Dextrometorfano",Tomar 10 ml cada 6 horas.,"Analgésico, descongestionante y antitusivo.",136,2.0,10.0,35.0,0.7142857142857143,20.0,70.0
137,QG5 DUO CAJA X 2 FCOS,"{'CAJA': [1, 45.0]}",Cápsulas,Suplemento dietético para el alivio de la acidez estomacal y la indigestión.,"Simeticona, Aluminio y Magnesio",Tomar 1 cápsula después de las comidas principales.,Antiflatulento y antiácido.,137,2.0,12.5,45.0,0.7222222222222222,25.0,90.0
138,RABANO YODADO 240 ML DRAGON,"{'JARABE': [1, 18.0]}",Jarabe,Suplemento dietético para el tratamiento de problemas de la tiroides.,Yodo,Seguir las indicaciones del médico.,Suplemento de yodo para la tiroides.,138,1.0,10.3,18.0,0.4277777777777777,10.3,18.0
139,REUMETAMEX FORTE (NAPROXENO 86 MG),"{'JARABE': [1, 20.0]}",Tabletas,Antiinflamatorio no esteroideo para el alivio del dolor y la inflamación.,Naproxeno,Tomar 1 tableta cada 8 horas.,Antiinflamatorio y analgésico.,139,4.0,9.5,20.0,0.525,38.0,80.0
140,SAL ANDREWS DISP X 50 SOBRES,"{'CAJA': [50, 100.0], 'SOBRE': [1, 2.0]}",Sobres,Sales de rehidratación oral para el tratamiento de la deshidratación causada por diarrea o vómito.,"Cloruro de Sodio, Citrato de Sodio, Glucosa",Seguir las instrucciones del médico o del fabricante.,Rehidratante y repositor de electrolitos.,140,51.0,0.8,2.0,0.6,40.8,102.0
141,SAL DE UVAS PICOT CAJA X 50,"{'CAJA': [50, 100.0], 'SOBRE': [1, 2.0]}",Tabletas efervescentes,Alivio de la acidez estomacal y malestar digestivo,Bicarbonato de sodio,1 tableta disuelta en agua después de las comidas,Neutraliza el ácido estomacal,141,56.0,0.96,2.0,0.52,53.76,112.0
142,SALBUTAMOL 100MCG X DOSIS SPRAY PROMEGAL,"{'SPRAY': [1, 25.0]}",Spray inhalador,Alivio de los síntomas de asma y enfermedad pulmonar obstructiva crónica (EPOC),Salbutamol,1-2 inhalaciones según necesidad,Broncodilatador,142,7.0,11.86,25.0,0.5256000000000001,83.02,175.0
143,SALUPRIM TAB CAJA X 50 BLIST X 5 (TRIMETROPRIM),"{'CAJA': [50, 80.0], 'BLISTER': [5, 8.0]}",Tabletas,Tratamiento de infecciones bacterianas,Trimetoprim,Según indicación médica,Antibiótico,143,11.0,4.5,8.0,0.4375,49.5,88.0
144,SANA SANA POMADA LATITA DE PLASTICO,"{'FRASCO': [1, 8.0]}",Pomada,Cicatrizante y antiséptico tópico,"Vaselina, óxido de zinc",Aplicar en la zona afectada según necesidad,Promueve la cicatrización y previene infecciones,144,14.0,3.0,8.0,0.625,42.0,112.0
145,SANIRENAL CAJA X 100 BLIST X 10,"{'CAJA': [100, 10.0], 'BLISTER': [10, 1.0]}",Tabletas,Suplemento para la salud renal,"Extracto de arándano, vitamina C",1 tableta al día,Apoyo a la función renal,145,94.0,0.6,1.0,0.4,56.4,94.0
146,SERAFON GUAYACOL+EUCALI) X 1000,"{'CAJA': [1000, 250.0], 'SOBRE': [1, 0.25]}",Jarabe,Expectorante y descongestionante,"Guayacol, eucalipto",Según indicación médica,Facilita la expulsión de mucosidad,146,712.0,0.125,0.25,0.5,89.0,178.0
147,SERTAL COMPUESTO BLIS X 10 CAJA X 200,"{'BLIS': [10, 3.3], 'CAJA': [200, 66.0]}",Tabletas,Alivio del dolor y la inflamación,"Dipirona, cafeína, meclofenamato",Según indicación médica,Analgésico y antiinflamatorio,147,141.0,1.75,3.3,0.4696969696969696,246.75,465.3
148,SERTAL COMPUESTO X 3 DOSIS,"{'CAJA': [1, 20.0]}",Ampollas,Analgésico y antiespasmódico,"Dipirona, cafeína, meclofenamato",Según indicación médica,Alivio del dolor y espasmos musculares,148,2.0,10.0,20.0,0.5,20.0,40.0
149,SHAMPOO MEDICASP 130.ML,"{'BOTE': [1, 70.0]}",Shampoo,Tratamiento para la caspa,Piritiona de zinc,Aplicar en el cuero cabelludo y masajear,Antifúngico y queratolítico,149,1.0,42.0,70.0,0.4,42.0,70.0
150,SIXTYNINE (SILDEN X 100 MGS) CAJA X 30 SOB Y CART X 4,"{'CAJA': [1, 15.0]}",Tabletas,Tratamiento de la disfunción eréctil,Sildenafil,Según indicación médica,Vasodilatador,150,10.0,5.3333,15.0,0.6444466666666666,53.333000000000006,150.0
151,SUCRADEL CAJA X 30 SOBRES,"{'CAJA': [30, 150.0], 'SOBRE': [1, 5.0]}",Sobres,Suplemento dietético,Sucralosa,1 sobre al día,Edulcorante sin calorías,151,21.0,2.5,5.0,0.5,52.5,105.0
152,SUCRASSYL CAJA X 30 PAHIL,"{'CAJA': [1, 5.0], 'SOBRE': [1, 5.0]}",Pastillas,Suplemento dietético,Sucralosa,1 pastilla al día,Edulcorante sin calorías,152,21.0,3.12,5.0,0.376,65.52,105.0
153,SUKROL BEBIBLE CAJA X 10 VIAL,"{'CAJA': [10, 55.0], 'VIAL': [1, 5.5]}",Solución,Suplemento vitamínico,Vitaminas y minerales,1 vial al día,Aporte de nutrientes esenciales,153,12.0,2.53,5.5,0.54,30.36,66.0
154,SUKROL NIÑO JARABE 240 ML,"{'JARABE': [1, 25.0]}",Jarabe,Suplemento vitamínico para niños,Vitaminas y minerales,Según indicación pediátrica,Aporte de nutrientes esenciales,154,2.0,12.0,25.0,0.52,24.0,50.0
155,SUKROL TAB  CAJA X 100,"{'CAJA': [100, 80.0]}",Tabletas,Suplemento vitamínico,Vitaminas y minerales,1 tableta al día,Aporte de nutrientes esenciales,155,1.0,20.0,80.0,0.75,20.0,80.0
156,TE ANTIGRIPAL CAJA X 20 SOBRES,"{'CAJA': [20, 20.0], 'SOBRE': [1, 1.0]}",Sobres,Tratamiento para la gripe,"Paracetamol, fenilefrina, clorfenamina",1 sobre cada 6 horas,"Analgésico, descongestionante, antihistamínico",156,22.0,0.5,1.0,0.5,11.0,22.0
157,TE CHUPA GRASA CAJA X 30,"{'CAJA': [1, 57.0]}",Cápsulas,Suplemento dietético,"Extracto de té verde, L-carnitina",2 cápsulas al día,Quemador de grasa,157,1.0,35.0,57.0,0.3859649122807017,35.0,57.0
158,TE CHUPA PANZA CAJA X 30,"{'CAJA': [1, 57.0]}",Cápsulas,Suplemento dietético,"Fibra, L-carnitina",2 cápsulas al día,Reductor de abdomen,158,1.0,35.0,57.0,0.3859649122807017,35.0,57.0
159,TE DE ALCACHOFA GN+V X 30 SOBRES,"{'CAJA': [1, 57.0]}",Sobres,Infusión para la digestión,"Alcachofa, boldo, diente de león",1 sobre después de las comidas,Digestivo y depurativo,159,1.0,35.72,57.0,0.3733333333333333,35.72,57.0
160,TE DE PIÑALIN CAJA X 30 SOBRES,"{'CAJA': [1, 57.0]}",Sobres,Infusión para la digestión,"Piña, linaza, tamarindo",1 sobre después de las comidas,Digestivo y laxante suave,160,1.0,35.0,57.0,0.3859649122807017,35.0,57.0
161,TE GINKO BILOBA CAJA X 20 SOBRES,"{'CAJA': [20, 30.0], 'SOBRE': [1, 1.5]}",Sobres,Suplemento dietético para mejorar la memoria y la circulación sanguínea,Ginkgo Biloba,1 sobre al día,Mejora la circulación sanguínea y la función cognitiva,161,14.0,0.75,1.5,0.5,10.5,21.0
162,TE LIMON + JENGIBRE CAJA X 20 SOBRES,"{'CAJA': [20, 30.0], 'SOBRE': [1, 1.5]}",Sobres,Infusión para mejorar la digestión y aliviar malestares estomacales,"Limón, Jengibre",1 sobre después de las comidas,Digestivo y antiinflamatorio,162,11.0,0.75,1.5,0.5,8.25,16.5
163,TE MANZANILLA + TILO  CAJA X 20 SOBRES,"{'CAJA': [20, 30.0], 'SOBRE': [1, 1.5]}",Sobres,Infusión para calmar los nervios y conciliar el sueño,"Manzanilla, Tilo",1 sobre antes de dormir,Sedante y relajante,163,16.0,0.75,1.5,0.5,12.0,24.0
164,TE MANZANILLA CAJA X 20 SOBRES,"{'CAJA': [20, 30.0], 'SOBRE': [1, 1.5]}",Sobres,Infusión para calmar el malestar estomacal y aliviar la ansiedad,Manzanilla,1 sobre después de las comidas,Digestivo y ansiolítico,164,14.0,0.7,1.5,0.5333333333333333,9.8,21.0
165,TE PARA LA DIABETES CAJA X 20 SOB VIDA,"{'CAJA': [20, 40.0], 'SOBRE': [1, 2.0]}",Sobres,Infusión para ayudar a controlar los niveles de azúcar en sangre en personas con diabetes,Hierbas especiales para la diabetes,1 sobre antes de cada comida,Regulador de la glucosa,165,16.0,0.75,2.0,0.625,12.0,32.0
166,TE PARA LA NOCHE CAJA X 20 SOBRES,"{'CAJA': [20, 30.0], 'SOBRE': [1, 1.5]}",Sobres,Infusión para promover el sueño y mejorar la calidad del descanso nocturno,Hierbas relajantes,1 sobre antes de dormir,Sedante y relajante,166,13.0,0.5,1.5,0.6666666666666666,6.5,19.5
167,TE PARA LA PRESION CAJA X 20 SOB VIDA,"{'CAJA': [20, 23.0], 'SOBRE': [1, 1.15]}",Sobres,Infusión para ayudar a controlar la presión arterial alta,Hierbas especiales para la presión arterial,1 sobre al día,Regulador de la presión arterial,167,23.0,0.6,1.15,0.4782608695652173,13.8,26.45
168,TE PARA LOS NERVIOS CAJA X 20 SOB VIDA,"{'CAJA': [20, 30.0], 'SOBRE': [1, 1.5]}",Sobres,Infusión para calmar los nervios y reducir la ansiedad,Hierbas relajantes,1 sobre cada 8 horas,Ansiolítico y relajante,168,11.0,0.76,1.5,0.4933333333333333,8.36,16.5
169,TE PERICON CAJA X 20 SOBRES,"{'CAJA': [20, 20.0], 'SOBRE': [1, 1.0]}",Sobres,Infusión para aliviar los cólicos menstruales y regular el ciclo menstrual,Pericón,1 sobre cada 6 horas durante el periodo menstrual,Antiespasmódico y regulador hormonal,169,20.0,0.6,1.0,0.4,12.0,20.0
170,TE RENAL CAJA X 20 SOBRES,"{'CAJA': [20, 30.0], 'SOBRE': [1, 1.5]}",Sobres,Infusión para mejorar la función renal y prevenir la formación de cálculos renales,Hierbas diuréticas y depurativas,1 sobre al día,Diurético y protector renal,170,17.0,0.6,1.5,0.6,10.2,25.5
171,TE TILO CAJA X 20 SOBRES,"{'CAJA': [20, 30.0], 'SOBRE': [1, 1.5]}",Sobres,Infusión para calmar los nervios y conciliar el sueño,Tilo,1 sobre en agua caliente antes de dormir,Sedante y relajante,171,7.0,0.5,1.5,0.6666666666666666,3.5,10.5
172,TE VERDE PIÑA CAJA X 20 SOBRES,"{'CAJA': [20, 30.0], 'SOBRE': [1, 1.5]}",Sobres,Infusión antioxidante con sabor a piña,Té verde,1 sobre en agua caliente al día,Antioxidante y estimulante,172,9.0,0.75,1.5,0.5,6.75,13.5
173,TERABIOL LANCASCO AMPIC+SULBACTAN) FCO X 70 ML,"{'FRASCO': [1, 50.0]}",Solución inyectable,Antibiótico de amplio espectro,Ampicilina + Sulbactam,Según indicación médica,Antibacteriano,173,1.0,25.3,50.0,0.494,25.3,50.0
174,TERRAMICINA UNGÜENTO 5 GRS,"{'CREMA': [1, 33.0]}",Ungüento,Antibiótico tópico para infecciones oculares,Clorhidrato de oxitetraciclina,Aplicar en el ojo afectado según indicación médica,Antibacteriano,174,1.0,15.0,33.0,0.5454545454545454,15.0,33.0
175,TIAMINA 300 ANCALMO CAJA X 100,"{'CAJA': [100, 100.0], 'SOBRE': [1, 1.0]}",Tabletas,Suplemento de vitamina B1 para el sistema nervioso,Tiamina,1 tableta al día,Suplemento vitamínico,175,54.0,0.4,1.0,0.6,21.6,54.0
176,TRAMADOL CAPSULA  CAJA X 100 BLIST X 10 MILAN,"{'CAJA': [100, 100.0], 'BLISTER': [10, 10.0]}",Cápsulas,Analgésico opioide para el alivio del dolor moderado a severo,Tramadol,Según indicación médica,Analgésico,176,18.0,5.5,10.0,0.45,99.0,180.0
177,TRES TOROS  CAJA X 10 AMPOLLAS VIAL BEBIBLE,"{'CAJA': [10, 40.0]}",Ampollas bebibles,Suplemento energizante y revitalizante,Vitaminas y minerales,1 ampolla al día,Suplemento nutricional,177,1.0,20.0,40.0,0.5,20.0,40.0
178,TRIAXOBIL S 1.5 FCO I.M /I.V.,"{'FRASCO': [1, 70.0]}",Solución inyectable,Antibiótico para infecciones graves,Ceftriaxona,Según indicación médica,Antibacteriano,178,0.0,36.0,70.0,0.4857142857142857,0.0,0.0
179,TRIPLE FORTE DX CAJA X 3 INYEC,"{'CAJA': [3, 30.0]}",Inyección,Combinación de vitaminas y minerales para fortalecer el sistema inmunológico,Vitaminas y minerales,Según indicación médica,Suplemento nutricional,179,1.0,15.3,30.0,0.49,15.3,30.0
180,TUSILEXIL FCO X 120 ML,"{'FRASCO': [1, 50.0]}",Jarabe,Expectorante para aliviar la tos y la congestión,Guaifenesina,Según indicación médica,Expectorante,180,2.0,25.3,50.0,0.494,50.6,100.0
181,UNESIA 20 GRS,"{'CREMA': [1, 58.0]}",Crema,Tratamiento tópico para hongos en la piel,Clotrimazol,Aplicar una capa delgada sobre la zona afectada 2 veces al día,Antifúngico,181,2.0,30.0,58.0,0.4827586206896552,60.0,116.0
182,UNIPULMIN ANTGRIPAL INYECTABLE,"{'JERINGA PRELLENADA': [1, 16.0]}",Inyectable,Tratamiento para gripa y tos,"Paracetamol, Fenilefrina, Clorfenamina",Según indicación médica,"Analgésico, Descongestionante, Antihistamínico",182,4.0,9.3,16.0,0.4187499999999999,37.2,64.0
183,UNIPULMIN GRIPE Y TOS INYECTABLE,"{'JERINGA PRELLENADA': [1, 16.0]}",Inyectable,Tratamiento para gripa y tos,"Paracetamol, Fenilefrina, Dextrometorfano",Según indicación médica,"Analgésico, Descongestionante, Antitusivo",183,1.0,9.3,16.0,0.4187499999999999,9.3,16.0
184,UROFIN DISPENS X 100,"{'DISPENSADOR': [100, 3.0]}",Tabletas,Suplemento vitamínico,Complejo B,Tomar 1 tableta al día,Suplemento vitamínico,184,94.0,1.85,3.0,0.3833333333333333,173.9,282.0
185,VARIFIN  FCO 100 TABS,"{'FRASCO': [1, 40.0]}",Tabletas,Antiinflamatorio y analgésico,Ibuprofeno,Según indicación médica,"Antiinflamatorio, Analgésico",185,1.0,20.3,40.0,0.4925,20.3,40.0
186,VICK PASTI MENTOL 5 X 24 SOBRES,"{'CAJA': [24, 96.0], 'SOBRE': [1, 4.0]}",Sobres,Alivio de la congestión nasal,Mentol,Disolver un sobre en agua caliente y inhalar los vapores,Descongestionante,186,16.0,2.29,4.0,0.4275,36.64,64.0
187,VICK VAPORUB 12G  CAJA X 12 LATITAS,"{'CAJA': [12, 10.0]}",Pomada,Alivio de la congestión nasal y muscular,"Mentol, Alcanfor, Eucalipto",Aplicar en pecho y espalda frotando suavemente,"Descongestionante, Analgésico",187,31.0,5.95,10.0,0.4049999999999999,184.45,310.0
188,VITAL FUERTE 10 AMP BEB 10 ML,"{'AMPOLLA': [1, 5.8]}",Ampollas bebibles,Suplemento vitamínico,Complejo B,Tomar 1 ampolla al día,Suplemento vitamínico,188,6.0,3.18,5.8,0.4517241379310344,19.08,34.8
189,VITALFUERTE X 100 TAB,"{'CAJA': [1, 80.0]}",Tabletas,Suplemento vitamínico,Complejo B,Tomar 1 tableta al día,Suplemento vitamínico,189,1.0,20.3,80.0,0.7462500000000001,20.3,80.0
190,VITAMINA E 1000 X 100 VESA,"{'CAJA': [100, 100.0], 'SOBRE': [1, 1.0]}",Cápsulas,Suplemento vitamínico,Vitamina E,Tomar 1 cápsula al día,Antioxidante,190,198.0,0.4,1.0,0.6,79.2,198.0
191,VIVE AMOR 16 CAJAS X 3 UND,"{'CAJA': [16, 128.0], 'SACHET': [1, 8.0]}",Tabletas,Suplemento vitamínico y mineral,Vitaminas y minerales,1 tableta al día,Suplemento vitamínico y mineral,191,5.0,4.7,8.0,0.4125,23.5,40.0
192,VIVE ORIGINAL 16 CAJAS X 3 UND,"{'CAJA': [16, 128.0], 'SACHET': [1, 8.0]}",Tabletas,Suplemento vitamínico y mineral,Vitaminas y minerales,1 tableta al día,Suplemento vitamínico y mineral,192,4.0,5.0,8.0,0.375,20.0,32.0
193,WINASORB GOTAS 15 ML,"{'BOTE': [1, 27.0]}",Gotas,Antidiarreico,Racecadotrilo,Según indicación médica,Inhibidor de la encefalinasa,193,1.0,15.0,27.0,0.4444444444444444,15.0,27.0
194,WINASORB JBE 60 ML,"{'JARABE': [1, 32.0]}",Jarabe,Antidiarreico,Racecadotrilo,Según indicación médica,Inhibidor de la encefalinasa,194,1.0,15.0,32.0,0.53125,15.0,32.0
195,YODOCLORINA DISP X 100 CAPS,"{'DISPENSADOR': [100, 90.0], 'SOBRE': [1, 0.9]}",Cápsulas,Antiséptico y desinfectante,Yodo,Según indicación médica,Antiséptico,195,124.0,0.4,0.9,0.5555555555555556,49.6,111.6
196,ZANAHORIA CON VIT A 40 ML,"{'BOTE': [1, 19.0]}",Jarabe,Suplemento vitamínico,Zanahoria y vitamina A,Según indicación médica,Suplemento vitamínico,196,2.0,12.0,19.0,0.3684210526315789,24.0,38.0
197,ZARZAPARRILLA FCO 240 ML (HIGSA),"{'FRASCO': [1, 20.0]}",Frascos,Depurativo y diurético,Extracto de zarzaparrilla,Según indicación médica,Depurativo y diurético,197,1.0,10.3,20.0,0.485,10.3,20.0
198,ZORRIFLEM JB 180 ML,"{'JARABE': [1, 18.0]}",Jarabe,Mucolítico y expectorante,Ambroxol,Según indicación médica,Mucolítico y expectorante,198,1.0,9.3,18.0,0.4833333333333333,9.3,18.0
199,ZORRITONE CARAMELO BARRA CAJA X 16 CEREZA,"{'CAJA': [1, 4.5]}",Caramelos,Suplemento energético,Vitaminas y minerales,Según indicación médica,Suplemento energético,199,18.0,2.19,4.5,0.5133333333333333,39.42,81.0
200,ZORRITONE CARAMELO BARRA CAJA X 16 MIEL LIMON,"{'CAJA': [1, 4.5]}",Caramelos,Suplemento energético,Vitaminas y minerales,Según indicación médica,Suplemento energético,200,17.0,2.18,4.5,0.5155555555555555,37.06,76.5
201,ZORRITONE CARAMELO BARRA CAJA X 16 TRADICIONAL,"{'CAJA': [1, 4.5]}",Caramelo en barra,Alivio de la tos y la irritación de garganta,"Miel de abeja, extracto de eucalipto, extracto de menta",Chupar un caramelo cada 2-3 horas según sea necesario,Expectorante y calmante de la garganta,201,27.0,2.19,4.5,0.5133333333333333,59.13,121.5
202,ZORRITONE CARAMELO X 500,"{'VIAL': [1, 0.5]}",Caramelo,Alivio de la tos y la irritación de garganta,"Miel de abeja, extracto de eucalipto, extracto de menta",Chupar un caramelo cada 2-3 horas según sea necesario,Expectorante y calmante de la garganta,202,298.0,0.27,0.5,0.4599999999999999,80.46000000000001,149.0
