medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
SULFACETAMIDA 10% 15 ML GOT SLECT,Gotas,Antibiótico tópico,Sulfacetamida,10% 15 ml,Antibacteriano
TADALALFIL 20 MG X 4 TAB BALAXI DISP X 10 CAJITAS BLIST X 4,Tabletas,Tratamiento de la disfunción eréctil,Tadalafilo,20 mg,Vasodilatador
TAPE-C B X 2 CAPLIN,Cápsulas,Analgésico y antipirético,Paracetamol y cafeína,2 cápsulas,Analgésico y estimulante
THIORELAX (TIOCOLCHICÓSICO) 8 MG X 10 TABS,Tabletas,Relajante muscular,Tiocolchicosido,8 mg,Relajante muscular
TINIDAZOL 500 MG BLIST X 10 CAJA X 100 CAPLIN,Tabletas,Antibiótico y antiparasitario,Tinidazol,500 mg,Antibacteriano y antiparasitario
TOALLITAS DE ALCOHOL X 200,Toallitas impregnadas,Desinfectante,Alcohol,200 unidades,Desinfección de la piel
TOSIFLEM JARABE 240 ML,Jarabe,Expectorante y antitusivo,Guaifenesina y dextrometorfano,240 ml,Fluidificante de secreciones y antitusivo
TOSSADIOS FCO CON 100 CARAMELOS,Caramelos,Alivio de la tos,Miel y extracto de plantas,100 unidades,Alivio de la tos
TRAMADOL 50MG CAJA X 100 BLIST X 10 CAPLIN,Tabletas,Analgésico,Tramadol,50mg,Analgésico opioide
TRAMADOL AMPOLLA 2ML BANDEJA X 10 AMP,Solución inyectable,Analgésico,Tramadol,2ml,Analgésico opioide
TRESBIOT 20 GRS CAPLIN,Cápsulas,Suplemento nutricional,No especificado,20g,Suplemento dietético
TRILOX 180 ML,Suspensión oral,Antibiótico,Amoxicilina y ácido clavulánico,180ml,Antibacteriano
TRILOX 360 ML,Suspensión oral,Antibiótico,Amoxicilina y ácido clavulánico,360ml,Antibacteriano
TRIMETOPRIM 120 ML SELEC (SULFABAC),Suspensión oral,Antibiótico,Trimetoprim y sulfametoxazol,120ml,Antibacteriano
TRIMETOPRIM BLISTER X 10 TABS CAJA X 100 CAPLIN,Tabletas,Antibiótico,Trimetoprim y sulfametoxazol,10 tabletas,Antibacteriano
UNIACT-V JABON INTIMO FEMENINO 200 ML CAPLIN,Jabón líquido,Higiene íntima femenina,No especificado,200ml,Higiene íntima
UNICIL L-A 2.4 MEGA (PENI BENA) VIAL UNIPHARM,Solución inyectable,Antibiótico,Bencilpenicilina,2.4 millones de unidades,Antibacteriano
UNIPEC 120 ML,Suspensión oral,Antipirético,Paracetamol,120ml,Analgésico y antipirético
VALSARTAN 80 MG CAJA X 30 TAB CAPLIN,Tabletas,Tratamiento de la hipertensión arterial,Valsartan,80 mg,Antihipertensivo
"VENDA ELASTICA 2"" X 5""",Venda elástica,Compresión y soporte en lesiones leves,No aplica,2 pulgadas x 5 yardas,Soporte y compresión
VENDA ELASTICA 3 X 5,Venda elástica,Compresión y soporte en lesiones moderadas,No aplica,3 pulgadas x 5 yardas,Soporte y compresión
"VENDA ELASTICA 4"" X 5""",Venda elástica,Compresión y soporte en lesiones graves,No aplica,4 pulgadas x 5 yardas,Soporte y compresión
"VENDA ELASTICA 6"" X 5""",Venda elástica,Compresión y soporte en lesiones extensas,No aplica,6 pulgadas x 5 yardas,Soporte y compresión
VENOTROPA X 30CAPS FARMALIN,Cápsulas,Mejora la circulación venosa,No aplica,30 cápsulas,Flebotónico
VIRIMAN PLUS (TADALAFIL 20 MG SELEC) CAJA X 1 TAB,Tableta,Tratamiento de la disfunción eréctil,Tadalafilo,20 mg,Inhibidor de la fosfodiesterasa tipo 5
"VITAMINA C 500 MG MASTICABLE BLIST, X 10 CAJA X 100",Tabletas masticables,Suplemento vitamínico para fortalecer el sistema inmunológico,Vitamina C,500 mg,Antioxidante
VITAMINA E 1000 UI BLIST X 10 CAJA X 60 GELC KURANTIS,Cápsulas blandas,Suplemento vitamínico para la piel y el sistema inmunológico,Vitamina E,1000 UI,Antioxidante
VITAMINA E 400 IU BLIS X 10 GEL CAPS CAJA X 60  KURANTIS,Cápsulas blandas,Suplemento vitamínico para la piel y el sistema inmunológico,Vitamina E,400 UI,Antioxidante
ZIGNET PLUS CAJA X 10 TABS,Tabletas,Tratamiento de la hipertensión arterial,"Losartán potásico, Hidroclorotiazida",Una tableta al día,Antihipertensivo
