medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
OMEPRAZOL 20 MG BLISTER X 10 ARGUS CAJA X 100,Tableta,"Tratamiento de úlceras gástricas, duodenales, esofagitis por reflujo gastroesofágico, síndrome de Zollinger-Ellison, erradicación de Helicobacter pylori, entre otros.",Omeprazol,20 mg,"Inhibidor de la bomba de protones, reduce la producción de ácido en el estómago."
PENETRACINA 3 CREMA 15 GR MEDIPROD,Crema,Tratamiento tópico de infecciones de la piel causadas por bacterias sensibles a la penicilina.,Penicilina,Aplicar una capa delgada sobre la zona afectada 2 a 3 veces al día,Antibiótico de amplio espectro que actúa inhibiendo la síntesis de la pared celular bacteriana
PODOFILINA 25% X 5 ML F QUIMICA,Solución tópica,Tratamiento de verrugas genitales y condilomas acuminados,Podofilotoxina,"Aplicar una capa fina sobre las lesiones 1 vez al día durante 3 días, luego descansar 4 días y repetir el ciclo si es necesario",Agente queratolítico y antimitótico
PREDNISONA 50MG BLISTER X 10 SELEC CAJA X 100,Tableta,"Antiinflamatorio, inmunosupresor",Prednisona,50mg,"Antiinflamatorio, inmunosupresor"
PRENATALES (MULTIVI+MINERA) GEL CAPS KURANTIS ,Cápsulas de gel,Suplemento vitamínico y mineral para mujeres embarazadas,Vitaminas y minerales,Tomar una cápsula al día,Ayuda a cubrir los requerimientos nutricionales durante el embarazo
PRENATALES PLUS 6 BLIS X 5 CAJA X 30 CAP CONAMEP,Cápsulas,Suplemento vitamínico para mujeres embarazadas,"Ácido fólico, Hierro, Calcio, Vitamina D, Vitamina B12, entre otros",Tomar una cápsula diaria con alimentos,Ayuda a cubrir los requerimientos nutricionales durante el embarazo
PROSTALINE CAJA X 30 BLISTER X 10 CAP,Cápsulas,Tratamiento de la hiperplasia prostática benigna,Serenoa repens,Tomar 1 cápsula al día,Inhibición de la enzima 5-alfa reductasa y disminución de la inflamación prostática
PRUDENCE ANILLOS Y PUNTOS CAJA X 3 PERSERVATIVOS,Preservativo,Método anticonceptivo de barrera para prevenir embarazos no deseados y proteger contra enfermedades de transmisión sexual,Látex,Uso único,Prevención de embarazos y protección contra enfermedades de transmisión sexual
"PRUDENCE CAJA X 3   MENTA, FRESA,CHOCOLATE,UVA",Pastillas,Suplemento dietario para el cuidado de la salud íntima femenina,No especificado,1 pastilla cada 24 horas,Ayuda a mantener el equilibrio de la flora vaginal y prevenir infecciones
PRUDENCE CLASICO SOBRE X 3 PERSERVATIVO,Sobre,Preservativo masculino para la prevención de enfermedades de transmisión sexual y embarazos no deseados,Látex,1 preservativo por cada relación sexual,Barrea mecánica para evitar el contacto directo entre los fluidos corporales durante la relación sexual
PRUDENCE RETARDANTE SOBRE X 3 PERSERVATIVOS ,Preservativos,Retardante para prolongar la eyaculación y mejorar la experiencia sexual,Benzocaína,Utilizar según las indicaciones del fabricante,Anestésico local para reducir la sensibilidad en el pene y retrasar la eyaculación
PRUDENCE SENSITIVE SOBRE X 3 PERSERVATIVOS ,Preservativos,Preservativos de látex lubricados y con forma anatómica para una mayor comodidad y sensibilidad,No aplica,Uso único,Prevención de enfermedades de transmisión sexual y embarazos no deseados
RELAX PLUS CAJA X 30 CAPS BLIST X 10 CONAMEP,Cápsulas,Medicamento utilizado para el tratamiento de la ansiedad y el estrés.,No especificado,"Tomar 1 cápsula cada 8 horas, según indicación médica.",Ansiolítico y relajante muscular
SAL INGLESA SOBRE X 25 VESA,Sobres,Laxante,Sulfato de magnesio,1 sobre disuelto en agua cada 8 horas,Laxante osmótico
SECNIDAZOL 125 MG SUSP FCO X 30 ML,Suspensión,Tratamiento de infecciones causadas por parásitos y bacterias,Secnidazol,125 mg,Antiparasitario y antibacteriano
SECNIDAZOL 500 MG X 4 TAB ARGUS,Tableta,Tratamiento de infecciones causadas por parásitos y bacterias,Secnidazol,500 mg por tableta,Antiparasitario y antibacteriano
SECNIDAZOL 500 MG X 4 TAB CAPLIN,Tableta,Tratamiento de infecciones causadas por parásitos y bacterias,Secnidazol,500 mg por tableta,Antiparasitario y antibacteriano
SECNIDAZOL SUSP 125 MG 5ML CAPLIN ,Suspensión,Tratamiento de infecciones causadas por parásitos y bacterias,Secnidazol,125 mg/5 ml,Antiparasitario y antibacteriano
SEGURA PLUS ,Tableta,Tratamiento de la hipertensión arterial,Losartan,50 mg una vez al día,Antihipertensivo
SENOSIDOS  CAJA X 30 BLIST X 10 CONAMEP,Tabletas,Laxante,Senósidos A y B,Tomar 1 tableta antes de acostarse,Estimula el peristaltismo intestinal
SOSTENGO SILDENAFIL 100MG CAJA X 24 SOB Y CAJITA X 2 TAB,Tableta,Tratamiento de la disfunción eréctil,Sildenafil,100mg,Inhibidor de la fosfodiesterasa tipo 5
SPASMOCLOR (CLORDIA+BROM DE CLID) BLISX 20 CJA X 100,Tabletas,Tratamiento de espasmos musculares y cólicos,Clordiazepóxido + Bromuro de clidinio,"La dosis usual es de 1 tableta cada 6 horas, según indicación médica","El clordiazepóxido actúa como relajante muscular y ansiolítico, mientras que el bromuro de clidinio actúa como antiespasmódico"
SPORT GEL FORTE 30 GRS,Gel,Alivio del dolor muscular y articular,Mentol,Aplicar una capa delgada sobre la zona afectada hasta 3 veces al día,Analgésico y antiinflamatorio
SULFATO DE SODA X 16 SOBRES DISFAVIL,Sobres,Laxante,Sulfato de sodio,1 sobre disuelto en agua antes de acostarse,Laxante osmótico
SULFATO FERROSO 350 MG BLIST X 10 SELEC,Tableta,Suplemento de hierro para tratar la deficiencia de hierro en el organismo,Sulfato ferroso,350 mg,Suplemento de hierro para corregir la anemia ferropénica
SUPOSITORIOS ACETAMINF 300MG CAPLIN,Supositorios,Alivio del dolor y la fiebre,Acetaminofén,300mg,Analgésico y antipirético
TELMISARTAN 80 MG CAJA X 30 BLIST X 10,Tableta,Tratamiento de la hipertensión arterial y la insuficiencia cardiaca,Telmisartan,80 mg,"Antihipertensivo, antagonista de los receptores de angiotensina II"
TETRACICLINA 500 MG BLISTER X 10 CAJA X 100,Tableta,Antibiótico de amplio espectro utilizado en el tratamiento de infecciones bacterianas,Tetraciclina,500 mg,"Inhibe la síntesis de proteínas en las bacterias, impidiendo su crecimiento y reproducción"
TRIMETOSE VIJOSA 120ML JARABE,Jarabe,Antitusivo y mucolítico,Trimetazidina,Adultos: 10 ml cada 8 horas. Niños: Consultar al médico,Ayuda a aliviar la tos y facilita la eliminación de mucosidad
"TRIPLE C FLUID CAJA X 30 SOBRES (ACETIL,PIRIDOXINA, VIT C)",Sobres,Suplemento vitamínico,"['Acetilcisteína', 'Piridoxina', 'Vitamina C']",1 sobre al día,Ayuda a fortalecer el sistema inmunológico y prevenir resfriados
UNAL (ANTICOCEP MENS) INYEC PIERSAN,Inyectable,"Anticoagulante utilizado en la prevención y tratamiento de trombosis venosa profunda, embolias pulmonares y tromboembolismos arteriales",Heparina sódica,La dosis y duración del tratamiento deben ser indicadas por un profesional de la salud,Anticoagulante
UNIACT KIT (medroxiprogesterona 150m) CA,Inyección,Anticonceptivo hormonal inyectable de uso mensual,Medroxiprogesterona,150 mg,Inhibe la ovulación y modifica el moco cervical para dificultar el paso de los espermatozoides
VIRO GRIP AM SOBRE X 2 GEL CAP CAJA X 24,Cápsulas,Alivio de los síntomas de gripa y resfriado común,"Paracetamol, Fenilefrina, Clorfenamina",Tomar 1 cápsula cada 6 horas,"Analgésico, Descongestionante, Antihistamínico"
VIRO GRIP GRIPE Y TOS JBE 120 ML,Jarabe,Tratamiento de la gripe y la tos,"Paracetamol, Clorfenamina, Fenilefrina",Tomar 10 ml cada 6 horas,Alivio de los síntomas de la gripe y la tos
VIRO GRIP PM SOBRE X 2 GEL CAP CAJA X 24,Cápsula,"Alivio de los síntomas de gripa y resfriado, como fiebre, dolor de cabeza, congestión nasal y dolor de cuerpo","Paracetamol, Clorfenamina, Fenilefrina","Tomar 1 cápsula cada 6 horas, no exceder de 4 cápsulas en 24 horas","Analgésico, antipirético, antihistamínico y descongestionante nasal"
VIROGRIP NF LIMON POLVO AM X 24 SOBRES,Polvo para preparar solución oral,Tratamiento de los síntomas del resfriado común y la gripe,"Paracetamol, Fenilefrina, Clorfenamina",1 sobre cada 6 horas,"Analgésico, Descongestionante nasal, Antihistamínico"
VIROGRIP NF LIMON POLVO PM X 24 SOBRES,Polvo para preparar solución oral,Tratamiento sintomático del resfriado común y la gripe,"Paracetamol, Fenilefrina, Clorfenamina",1 sobre cada 6 horas,"Analgésico, descongestionante nasal, antihistamínico"
VITAMINA K AMPOLLA SELEC,Ampolla,Suplemento de vitamina K para tratar deficiencias o trastornos de coagulación,Vitamina K,"La dosis recomendada varía según la condición a tratar, consultar con un profesional de la salud",Ayuda en la coagulación de la sangre
VITAMINAS PARA DIABETICOS CAJA X 30  BLIST X 10 GELCAPS,GELCAPS,Suplemento de vitaminas para diabéticos,Vitaminas,"30 cápsulas por caja, 10 cápsulas por blíster",Suplemento vitamínico para personas con diabetes
WARFARINA 5 MG BLIST X 10 ,Tableta,Anticoagulante utilizado para prevenir la formación de coágulos sanguíneos y reducir el riesgo de accidentes cerebrovasculares y ataques cardíacos,Warfarina,5 mg,Anticoagulante
ZETAWIN FORTE 1G CAJA X 20 TAB BLIST X 10,Tableta,Analgésico y antipirético,Paracetamol,1 tableta cada 6 horas,Alivio del dolor y reducción de la fiebre
ZINC 15 MG GEL BLISTER X 10  CAJA X 50,Gel Blister,Suplemento de zinc,Zinc,15 mg,Suplemento mineral
ZINC 20 MG CAJA X 100  BLIST X 10 TAB CAPLIN,Tableta,Suplemento dietético para prevenir deficiencia de zinc,Zinc,20 mg,Suplemento mineral
ZINKVANZ (ZINC)10MG/5ML JBE 120ML SEVEN ,Jarabe,Suplemento de zinc para el tratamiento de deficiencias de este mineral en el organismo,Zinc,10mg/5ml,Suplemento mineral
ZORRITONE JARABE 120 ML ,Jarabe,Alivio de la tos y la congestión nasal,"Clorfenamina, Fenilefrina",Adultos y niños mayores de 12 años: 10 ml cada 6 horas. Niños de 6 a 12 años: 5 ml cada 6 horas.,Antihistamínico y descongestionante nasal
